ID,Status,Zonal Office,Company,Incident Number,Incident Date,Report Date,Contaminat,Estimated Quantity,Quantity Recovered,Spill Stop Date,Type of Facility,Cause,Initial Containment Measures,Site Location Measures,Latitude,Longitude,LGA,Estimated Spill Area,Spill Area Habitat,Description of Impact,States Affected,,Form A Date,Form B Date,Form C Date,JIV Date,Present at JIV,Cleanup Date,Cleanup Completed Date,Cleanup Methods,Post-Cleanup Inspection Date,Post-Impact Assessment Date,Remediation Start,Remediation End,Remediation Type,Final Sampling Date,Final Lab Results,Certificate Date,Certificate Number,Last Updated By
283645,confirmed,wa,NEPL,NEPL/HSE/ABU/65/009/23,9/27/2023,9/27/2023,cr,2,,,fl,sab,tr,NEPL 4'' FLOWLINE AT OKPIOVWIN,5.4360633,5.8563017,Udu,,"ss,sw","Vegetation and soil were impacted, the spill was within the company's right of way.",DE,,,,,9/28/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-30 WA003
283644,confirmed,wa,NEPL,NEPL/HSE/ABU/65/009/23,9/27/2023,9/27/2023,cr,5,,,fl,sab,other:none,NEPL 4'' ABURA FLOWLINE @ OGHIOR/UKPIOVWIN,5.4360714,5.856295,Udu,,"sw,ss","Vegetation and soil were impacted, the spill was within the company's right of way.",DE,,,,,9/28/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-30 WA003
283643,confirmed,wa,NEPL,NEPL/HSE/OVA/010/2023,9/25/2023,9/26/2023,cr,0.08,,,pl,sab,other:none,10'' EXPORT LINE AT OVADE COMMUNITY.,6.0442961,5.7094114,Ethiope-West,,la,"Soil was impacted, the spill was within the company's right of way.",DE,,,,,9/27/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-30 WA003
283642,confirmed,wa,Midwestern,UPIL/008/2023,9/25/2023,9/26/2023,cr,3,5,,pl,sab,tr,MWOG/UPIL PIPELINE ROW @ OBODETI,5.6572222,6.3336111,Ndokwa-West,,ss,"Vegatation and soil were impacted, the spill was within and outside the company's right of way.",DE,,,,,9/27/2023,"nosdra,dpr,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2023-09-30 WA003
283634,confirmed,ph,NAOC,2023/LAR/264,9/25/2023,9/25/2023,cr,8,,9/25/2023,pl,sab,,"18"" EBOCHA-OGODA PIPELINE AT OBIE ONELGA LGA, RIVERS STATE.",5.4111111,6.6904722,Ogba/Egbema/Ndoni,0.0008225,la,170mm Hacksaw cut was observed at 9-11 O'clock position by unknown persons on the facility.,RI,,,,,9/25/2023,"cmmnt,cmpny,mltry,mnstry,nosdra",,,,,,,,,,,,,2023-10-03 AB017
283636,confirmed,ph,NAOC,2023/LAR/263,9/24/2023,9/24/2023,cr,2,,9/25/2023,pl,sab,,"24"" OGODA-BRASS PIPELINE AT OYIGBA AHOADA WEST LGA, RIVERS STATE.",5.0893889,6.5634167,Ahoada-West,0.00080976,la,270mm single Hacksaw cut was observed at 12-2 O'clock position on the facility.,RI,,,,,9/25/2023,"cmmnt,cmpny,mltry,mnstry,nosdra",,,,,,,,,,,,,2023-10-03 AB017
283638,reviewed,ak,ESSO,009/2023,9/22/2023,9/23/2023,cr,0.00503,,,fp,ome,other: scooper plugs were re-instated,Erha FPSO OML 133,5.3511111,4.3347222,,0.004,of,Silvery sheen observed around the FPSO during heavy down pour due to oily water from the rain wash down going overboard through some displaced scooper plugs.,ON,,9/23/2023,,,,,,,,,,,,,,,,,2023-09-28 AK004
283653,confirmed,ph,NAOC,2023/LAR/260,9/19/2023,9/19/2023,co,3.47,,9/19/2023,fl,sab,,Obf 35s Flowline Omoku Onelga River State.,5.4114167,6.7125,Ogba/Egbema/Ndoni,0.0005206,la,The JIT observed 2Nos Hacksaw cuts point 70mm position 2-4 O clock point B 6-8 O clock between the distance of 180mm was observed on the Facility,RI,,,,,9/19/2023,"nosdra,mnstry,cmpny,cmmnt,mltry",,,,,,,,,,,,,2023-10-03 AB017
283443,confirmed,uy,MPN,015 /2023,9/19/2023,9/22/2023,cr,0.028,,,other:,ome,bw,QIT,4.5338889,8.0002778,Ibeno,,la,,AK,,9/22/2023,,,,,,,,,,,,,,,,,2023-10-04 AB017
283649,confirmed,ph,NAOC,2023-LAR/257,9/17/2023,9/17/2023,co,2.43,Nil,9/17/2023,fl,sab,,14” Obiafu 35l Flowline Omoku Onelga River State,5.3902778,6.6462778,Ogba/Egbema/Ndoni,364.42,la,The JIT observed Installation of one inch nipple at 6 O clock position by unknown persons for oil theft activity,RI,,,,,9/17/2023,"nosdra,mnstry,cmpny,cmmnt,mltry",,,,,,,,,,,,,2023-10-03 AB017
283648,confirmed,ph,NAOC,2023/LAR/258,9/17/2023,9/17/2023,cr,17.8Bbls,Nil,9/17/2023,fl,sab,,Obiafu 29l Flow line Omoku Onelga River State.,5.4127778,6.5848611,Ogba/Egbema/Ndoni,"3,350.25",la,The JIT observed about 90mm hacksaw cut at 6-7 O clock position by Unknown persons for oil theft activity,RI,,,,,9/17/2023,"nosdra,mnstry,cmpny,cmmnt,mltry",,,,,,,,,,,,,2023-10-03 AB017
283650,confirmed,ph,NAOC,2023/LAR/255,9/16/2023,9/16/2023,co,0.2,,9/16/2023,Bulk line,sab,,"10” Obiafu 41, 42.43, Bulk Line Obrikom, Onelga River State.",5.3947778,6.6297778,Ogba/Egbema/Ndoni,0.00005679,la,The JIT observed about 150mm hacksaw cut at 9-11 O clock position by Unknown persons for oil theft activity.,RI,,,,,9/16/2023,"nosdra,mnstry,cmpny,cmmnt,mltry",,,,,,,,,,,,,2023-10-03 AB017
283442,confirmed,ph,SPDC,1468918,9/16/2023,9/17/2023,no,,,,pl,sab,tr,"14'' OKORDIA-RUMUEKPE PIPELINE AT AKALA-OLU,AHOADA-WEST L.G.A, RIVERS STATE.",5.11371,6.49626,Ahoada-West,,sw,"2'' NIPPLE WAS INSTALLED AT 12''POSITION ON SPDC 14'' OKORDIA-RUMUEKPE PIPELINE AT AKALA-OLU, AHOADA-WEST L.G.A, RIVERS STATE.",RI,,,,,9/18/2023,"nosdra,mnstry,cmmnt,cmpny,mltry",,,,,,,,,,,,,2023-09-26 AB017
